nm_candidato,ds_observacao
Lula,registrado no TSE
Flávio Bolsonaro,registrado no TSE
Cury (Avante),registrado no TSE
Renan Santos,registrado no TSE
Ronaldo Caiado,registrado no TSE
Pablo Marçal,registrado; candidatura indeferida (o painel mostra com aviso)
Romeu Zema,registrado no TSE
Samara,registrado no TSE
Pimenta,registrado no TSE
Dias,registrado no TSE
Clariana,registrado no TSE
Costa,registrado no TSE
Grassi,registrado no TSE
Avalanche,registrado no TSE (grafia curta)
Leonardo Avalanche,registrado no TSE (grafia longa)
